dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city
1656835200,1,253.68,0.44,3.51,35.41,2.38,2.9,3.84,2.91,Indore
1656838800,1,263.69,0.44,4.03,35.76,2.21,3.2,4.27,3.04,Indore
1656842400,1,260.35,0.29,4.2,33.97,1.86,3.19,4.34,3.17,Indore
1656846000,1,263.69,0.14,4.58,30.76,1.83,3.05,4.13,3.07,Indore
1656849600,1,273.7,0.08,5.23,28.61,2.03,3.03,3.97,2.85,Indore
1656853200,1,277.04,0.04,5.91,27.18,2.26,3.26,4.28,2.85,Indore
1656856800,1,277.04,0.01,5.91,25.75,2.32,3.71,5.01,2.88,Indore
1656860400,1,273.7,0.01,5.44,24.68,2.12,3.8,5.24,2.82,Indore
1656864000,1,273.7,0.01,5.1,24.32,1.85,3.62,5.21,2.98,Indore
1656867600,1,267.03,0.0,4.5,24.68,1.56,3.39,5.06,3.1,Indore
1656871200,1,257.02,0.0,3.94,25.75,1.45,3.47,4.83,2.98,Indore
1656874800,1,243.66,0.0,3.47,26.46,1.73,4.29,5.29,2.6,Indore
1656878400,1,236.99,0.0,3.34,26.11,2.0,5.17,6.18,2.41,Indore
1656882000,1,230.31,0.0,3.04,25.75,1.97,5.26,6.28,2.28,Indore
1656885600,1,226.97,0.0,2.74,26.11,1.83,5.08,6.06,2.15,Indore
1656889200,1,223.64,0.0,2.57,26.46,1.82,5.35,6.33,2.15,Indore
1656892800,1,226.97,0.0,2.59,26.11,1.86,5.91,6.96,2.15,Indore
1656896400,1,233.65,0.01,3.04,25.75,2.0,6.14,7.24,2.06,Indore
1656900000,1,247.0,0.07,3.9,25.03,2.12,6.0,7.29,1.99,Indore
1656903600,1,250.34,0.19,4.41,24.68,2.15,5.96,7.4,2.06,Indore
1656907200,1,247.0,0.17,4.11,25.75,1.97,5.49,6.92,2.15,Indore
1656910800,1,240.33,0.17,3.43,28.25,1.76,4.97,6.4,2.34,Indore
1656914400,1,236.99,0.16,3.0,31.47,1.73,5.11,6.5,2.56,Indore
1656918000,1,240.33,0.22,2.83,34.33,1.83,5.57,6.9,2.66,Indore
1656921600,1,243.66,0.25,3.08,36.12,1.97,5.89,7.17,2.75,Indore
1656925200,1,250.34,0.28,3.38,36.84,2.03,5.92,7.15,2.79,Indore
1656928800,1,247.0,0.28,3.26,38.62,1.85,5.77,7.01,2.94,Indore
1656932400,1,250.34,0.2,3.43,39.7,1.68,5.35,6.56,3.04,Indore
1656936000,1,253.68,0.15,3.77,39.7,1.64,4.9,6.08,3.13,Indore
1656939600,1,273.7,0.14,5.44,36.48,1.88,5.37,7.22,4.24,Indore
1656943200,1,297.07,0.01,6.6,31.83,2.18,6.41,9.57,5.7,Indore
1656946800,1,313.76,0.0,6.6,30.04,2.53,7.19,11.19,5.89,Indore
1656950400,1,327.11,0.0,7.03,28.61,2.86,7.59,11.89,5.64,Indore
1656954000,1,317.1,0.0,6.6,28.61,2.56,7.41,11.43,5.19,Indore
1656957600,1,290.39,0.0,6.08,28.25,2.71,6.77,9.76,4.31,Indore
1656961200,1,283.72,0.0,7.54,23.6,5.3,7.47,9.01,2.69,Indore
1656964800,2,290.39,0.0,9.17,18.78,7.03,10.29,11.63,2.06,Indore
1656968400,2,297.07,0.01,9.6,16.63,7.15,10.96,12.27,1.9,Indore
1656972000,1,293.73,0.01,9.08,15.91,6.56,9.11,10.3,1.96,Indore
1656975600,1,287.06,0.01,8.4,15.02,5.48,7.62,8.72,2.12,Indore
1656979200,1,283.72,0.03,7.8,13.59,4.41,6.96,8.03,2.28,Indore
1656982800,1,290.39,0.08,7.63,11.98,3.7,6.8,8.01,2.31,Indore
1656986400,1,297.07,0.33,7.71,10.01,3.1,6.67,8.2,2.28,Indore
1656990000,1,300.41,0.79,7.28,9.3,2.77,6.47,8.08,2.15,Indore
1656993600,1,290.39,0.86,6.77,11.62,2.59,5.78,7.17,1.84,Indore
1656997200,1,290.39,0.77,7.11,13.41,2.56,5.89,7.14,1.76,Indore
1657000800,1,297.07,0.69,7.63,15.56,2.5,6.0,7.11,1.74,Indore
1657004400,1,300.41,0.66,7.2,20.21,2.24,6.2,7.2,1.76,Indore
1657008000,1,307.08,0.47,7.03,25.03,2.0,7.22,8.26,1.8,Indore
1657011600,1,320.43,0.43,6.85,27.89,1.85,8.2,9.29,1.85,Indore
1657015200,1,327.11,0.37,6.43,30.04,1.73,8.48,9.58,1.9,Indore
1657018800,1,333.79,0.17,6.94,28.61,1.67,8.25,9.35,2.01,Indore
1657022400,1,340.46,0.08,7.63,26.82,1.68,8.33,9.52,2.15,Indore
1657026000,1,340.46,0.04,7.71,25.75,1.7,8.65,10.07,2.37,Indore
1657029600,1,327.11,0.01,6.6,26.46,1.61,8.96,10.66,2.5,Indore
1657033200,1,313.76,0.0,5.65,29.68,1.64,9.11,10.83,2.44,Indore
1657036800,1,320.43,0.0,5.91,31.11,2.0,9.96,11.53,2.41,Indore
1657040400,2,333.79,0.0,7.28,28.25,2.68,12.35,13.81,2.25,Indore
1657044000,2,340.46,0.01,9.68,22.17,3.93,15.2,16.32,1.85,Indore
1657047600,2,330.45,0.01,10.37,18.24,3.99,14.33,15.15,1.76,Indore
1657051200,2,317.1,0.01,9.51,16.27,3.49,12.3,13.12,1.96,Indore
1657054800,2,313.76,0.01,8.74,14.66,3.28,11.03,11.91,2.15,Indore
1657058400,2,313.76,0.02,9.0,12.7,3.55,11.28,12.35,2.47,Indore
1657062000,2,320.43,0.04,10.11,10.28,4.29,12.74,14.05,2.75,Indore
1657065600,2,327.11,0.09,11.14,8.31,5.3,14.35,15.81,2.94,Indore
1657069200,2,343.8,0.27,11.82,6.71,6.5,15.19,16.86,3.04,Indore
1657072800,2,373.84,1.19,12.0,5.72,7.57,14.92,17.11,3.29,Indore
1657076400,2,397.21,3.02,10.97,6.71,8.46,13.96,16.58,3.55,Indore
1657080000,2,363.83,2.91,9.17,11.44,7.87,10.39,12.64,2.88,Indore
1657083600,1,337.12,2.32,7.97,15.91,6.97,7.9,9.85,2.88,Indore
1657087200,1,320.43,1.9,7.2,20.21,6.62,6.65,8.35,2.88,Indore
1657090800,1,290.39,1.2,6.17,27.89,5.78,5.22,6.55,2.53,Indore
1657094400,1,277.04,0.64,5.91,32.54,5.19,4.43,5.55,2.41,Indore
1657098000,1,277.04,0.42,6.17,35.41,5.36,4.36,5.42,2.47,Indore
1657101600,1,277.04,0.33,5.91,38.62,5.13,4.29,5.32,2.66,Indore
1657105200,1,273.7,0.25,5.65,41.48,4.47,4.14,5.16,2.88,Indore
1657108800,1,273.7,0.15,5.65,41.48,3.49,3.67,4.65,3.01,Indore
1657112400,1,293.73,0.08,7.2,36.84,3.13,3.7,5.05,3.67,Indore
1657116000,1,327.11,0.01,8.74,31.47,3.31,4.42,6.56,4.31,Indore
1657119600,1,343.8,0.01,8.65,28.61,3.37,5.27,7.98,4.24,Indore
1657123200,1,357.15,0.01,8.57,27.18,3.55,6.03,8.79,3.96,Indore
1657126800,1,333.79,0.01,7.37,26.82,2.92,5.8,8.42,3.51,Indore
1657130400,1,300.41,0.0,6.08,27.54,2.06,5.27,7.39,3.1,Indore
1657134000,1,280.38,0.0,4.71,28.25,1.39,4.92,6.19,2.79,Indore
1657137600,1,270.37,0.0,3.86,26.46,1.18,4.16,4.95,2.5,Indore
1657141200,1,257.02,0.0,3.6,22.89,1.27,3.18,3.81,2.22,Indore
1657144800,1,240.33,0.0,3.26,21.28,1.22,3.17,3.78,2.03,Indore
1657148400,1,233.65,0.01,2.87,20.56,1.06,3.72,4.37,2.09,Indore
1657152000,1,233.65,0.01,2.72,20.03,0.92,4.17,4.85,2.15,Indore
1657155600,1,240.33,0.02,3.08,19.13,0.97,4.5,5.33,2.15,Indore
1657159200,1,250.34,0.14,4.03,17.7,1.18,5.0,6.25,2.18,Indore
1657162800,1,257.02,0.47,4.41,17.34,1.42,5.59,7.09,2.28,Indore
1657166400,1,257.02,0.49,4.54,18.06,1.67,6.19,7.86,2.41,Indore
1657170000,1,260.35,0.44,4.8,18.42,1.86,6.82,8.73,2.69,Indore
1657173600,1,263.69,0.47,5.06,19.49,1.97,7.21,9.25,3.04,Indore
1657177200,1,267.03,0.5,4.97,22.17,2.0,7.63,9.7,3.45,Indore
1657180800,1,270.37,0.45,4.84,26.46,1.94,7.46,9.45,3.55,Indore
1657184400,1,270.37,0.36,4.67,30.76,1.88,6.58,8.39,3.45,Indore
1657188000,1,263.69,0.21,4.41,32.9,1.68,5.56,7.23,3.55,Indore
1657191600,1,263.69,0.1,4.71,32.19,1.56,4.68,6.23,3.51,Indore
1657195200,1,267.03,0.04,5.27,30.76,1.58,4.17,5.61,3.42,Indore
1657198800,1,280.38,0.01,6.17,29.33,1.89,4.32,5.9,3.58,Indore
1657202400,1,290.39,0.01,6.43,28.97,2.32,4.81,6.66,3.55,Indore
1657206000,1,297.07,0.0,6.17,27.89,2.41,4.72,6.52,3.04,Indore
1657209600,1,297.07,0.01,6.08,25.39,2.35,4.52,6.28,2.85,Indore
1657213200,1,297.07,0.01,7.11,21.82,2.83,5.51,7.2,2.6,Indore
1657216800,1,303.75,0.02,9.94,16.27,3.34,6.97,8.3,2.31,Indore
1657220400,1,293.73,0.02,9.08,15.56,2.29,5.95,6.82,2.22,Indore
1657224000,1,270.37,0.01,6.08,18.6,1.28,3.67,4.39,2.22,Indore
1657227600,1,250.34,0.0,4.2,21.64,1.04,2.37,3.08,2.22,Indore
1657231200,1,243.66,0.0,3.77,22.71,1.21,2.64,3.53,2.31,Indore
1657234800,1,247.0,0.01,4.24,21.28,1.68,4.07,5.27,2.44,Indore
1657238400,1,257.02,0.01,5.27,18.42,2.29,6.06,7.57,2.56,Indore
1657242000,1,277.04,0.05,6.68,15.2,2.83,7.97,9.81,2.66,Indore
1657245600,1,293.73,0.27,8.14,12.34,3.19,9.68,12.06,2.72,Indore
1657249200,2,300.41,0.73,8.23,11.98,3.37,10.97,13.63,2.69,Indore
1657252800,2,287.06,0.81,7.88,13.95,3.46,11.43,13.82,2.5,Indore
1657256400,2,280.38,0.92,7.28,15.56,3.43,10.85,12.85,2.53,Indore
1657260000,1,277.04,0.85,6.34,18.06,3.1,9.35,10.86,2.47,Indore
1657263600,1,253.68,0.55,4.46,27.89,2.26,6.89,7.9,1.96,Indore
1657267200,1,240.33,0.34,3.26,37.55,1.62,5.83,6.68,1.8,Indore
1657270800,1,236.99,0.3,2.57,43.63,1.33,4.93,5.71,1.82,Indore
1657274400,1,236.99,0.25,2.27,46.49,1.13,3.99,4.76,2.12,Indore
1657278000,1,243.66,0.22,2.83,46.49,1.15,3.56,4.4,2.41,Indore
1657281600,1,250.34,0.16,3.81,43.99,1.21,3.47,4.4,2.56,Indore
1657285200,1,257.02,0.07,4.93,38.98,1.31,3.45,4.64,2.91,Indore
1657288800,1,260.35,0.01,5.48,33.97,1.4,3.24,4.81,3.29,Indore
1657292400,1,260.35,0.0,5.65,30.76,1.53,2.97,4.68,3.29,Indore
1657296000,1,263.69,0.0,5.91,28.61,1.79,3.11,4.94,3.13,Indore
1657299600,1,260.35,0.0,5.65,27.89,1.77,3.23,5.07,2.94,Indore
1657303200,1,250.34,0.0,5.14,27.54,1.59,3.24,4.8,2.63,Indore
1657306800,1,247.0,0.0,4.8,26.82,1.52,3.58,4.69,2.28,Indore
1657310400,1,247.0,0.0,4.93,24.68,1.59,4.21,5.12,2.15,Indore
1657314000,1,250.34,0.0,5.23,21.99,1.65,4.55,5.43,2.22,Indore
1657317600,1,247.0,0.0,5.06,20.38,1.53,4.26,5.06,2.18,Indore
1657321200,1,247.0,0.0,4.71,19.67,1.4,3.92,4.62,2.09,Indore
1657324800,1,247.0,0.01,4.67,18.78,1.51,3.98,4.64,1.99,Indore
1657328400,1,250.34,0.02,4.88,17.88,1.73,4.11,4.93,2.09,Indore
1657332000,1,250.34,0.11,5.1,17.52,1.94,4.47,5.63,2.15,Indore
1657335600,1,247.0,0.36,4.63,18.24,1.94,4.72,6.0,2.22,Indore
1657339200,1,236.99,0.51,3.38,21.64,1.76,4.48,5.58,2.12,Indore
1657342800,1,230.31,0.37,2.63,25.39,1.56,4.68,5.69,2.15,Indore
1657346400,1,223.64,0.24,2.01,30.76,1.45,5.01,5.94,2.18,Indore
1657350000,1,216.96,0.12,1.54,35.05,1.21,4.58,5.42,2.06,Indore
1657353600,1,216.96,0.08,1.5,35.41,1.04,3.61,4.29,1.93,Indore
1657357200,1,213.62,0.07,1.54,36.12,1.06,3.0,3.6,1.92,Indore
1657360800,1,220.3,0.06,1.93,36.12,1.19,2.76,3.31,2.09,Indore
1657364400,1,230.31,0.03,2.78,35.05,1.53,3.43,4.02,2.31,Indore
1657368000,1,243.66,0.02,3.98,33.97,2.24,4.66,5.33,2.34,Indore
1657371600,1,260.35,0.04,5.23,30.76,3.22,6.04,6.86,2.22,Indore
1657375200,1,263.69,0.01,5.48,27.18,3.31,6.39,7.34,2.03,Indore
1657378800,1,267.03,0.0,5.4,23.96,2.15,5.74,6.72,1.93,Indore
1657382400,1,267.03,0.01,5.27,21.82,1.36,4.54,5.56,2.01,Indore
1657386000,1,263.69,0.01,4.93,20.21,1.03,2.73,3.67,1.99,Indore
1657389600,1,257.02,0.01,4.58,19.85,0.82,1.6,2.29,1.88,Indore
1657393200,1,250.34,0.0,4.33,20.21,0.72,1.13,1.49,1.6,Indore
1657396800,1,247.0,0.0,4.2,20.03,0.72,1.21,1.5,1.65,Indore
1657400400,1,247.0,0.0,4.16,19.85,0.8,1.47,1.78,1.84,Indore
1657404000,1,247.0,0.0,4.2,19.85,1.03,2.2,2.6,2.12,Indore
1657407600,1,250.34,0.0,4.5,19.67,1.52,3.38,3.86,2.09,Indore
1657411200,1,253.68,0.01,5.06,18.78,2.12,4.19,4.74,1.96,Indore
1657414800,1,260.35,0.02,5.74,17.88,2.68,4.58,5.32,1.87,Indore
1657418400,1,263.69,0.16,6.25,16.81,3.04,5.12,6.17,1.87,Indore
1657422000,1,263.69,0.69,5.65,17.52,3.25,5.65,6.86,1.9,Indore
1657425600,1,260.35,1.05,4.71,19.31,3.28,5.94,7.13,1.99,Indore
1657429200,1,260.35,0.95,4.2,21.1,2.92,5.87,6.98,2.09,Indore
1657432800,1,257.02,0.69,3.94,23.25,2.53,5.45,6.37,2.12,Indore
1657436400,1,247.0,0.4,3.6,26.46,2.03,4.57,5.29,2.03,Indore
1657440000,1,236.99,0.21,3.26,28.25,1.49,3.8,4.42,1.98,Indore
1657443600,1,233.65,0.16,2.91,31.11,1.22,3.46,4.04,2.01,Indore
1657447200,1,233.65,0.13,2.74,32.19,1.1,3.39,3.94,1.96,Indore
1657450800,1,243.66,0.16,3.3,30.4,1.12,3.78,4.33,1.98,Indore
1657454400,1,250.34,0.2,3.9,27.54,1.15,4.16,4.73,1.96,Indore
1657458000,1,257.02,0.11,4.58,25.03,1.25,4.69,5.42,2.22,Indore
1657461600,1,257.02,0.01,4.84,25.75,1.52,5.97,6.99,2.44,Indore
1657465200,1,263.69,0.0,4.88,28.61,1.97,7.47,8.72,2.41,Indore
1657468800,1,277.04,0.0,6.77,25.39,2.71,7.27,8.48,2.15,Indore
1657472400,1,297.07,0.0,9.42,19.85,3.87,6.12,7.25,1.95,Indore
1657476000,1,300.41,0.0,9.94,20.56,4.95,5.93,6.88,1.71,Indore
1657479600,1,287.06,0.0,9.08,23.96,5.66,5.55,6.24,1.46,Indore
1657483200,1,280.38,0.0,8.31,25.03,5.78,5.11,5.72,1.36,Indore
1657486800,1,280.38,0.0,7.71,25.03,5.48,5.0,5.61,1.38,Indore
1657490400,1,280.38,0.0,7.2,24.68,4.77,5.53,6.21,1.47,Indore
1657494000,1,283.72,0.0,6.85,22.89,4.17,6.88,7.66,1.55,Indore
1657497600,1,287.06,0.0,6.68,21.46,3.52,6.84,7.61,1.63,Indore
1657501200,1,293.73,0.02,6.77,19.49,2.86,6.54,7.42,1.8,Indore
1657504800,1,310.42,0.21,7.2,17.17,2.21,6.06,7.36,2.09,Indore
1657508400,1,327.11,0.88,7.11,16.27,1.83,5.57,7.4,2.5,Indore
1657512000,1,337.12,1.52,6.25,18.24,1.68,5.32,7.56,2.88,Indore
1657515600,1,330.45,1.4,5.57,20.92,1.55,5.17,7.47,3.07,Indore
1657519200,1,330.45,1.38,4.88,24.68,1.52,5.17,7.35,3.13,Indore
1657522800,1,320.43,0.95,4.16,32.54,1.48,5.35,7.21,3.01,Indore
1657526400,1,310.42,0.44,4.37,35.05,1.45,5.59,7.25,2.98,Indore
1657530000,1,307.08,0.21,4.46,36.48,1.45,6.04,7.59,3.04,Indore
1657533600,1,297.07,0.08,3.9,40.77,1.21,6.54,7.91,3.04,Indore
1657537200,1,297.07,0.05,3.73,45.42,1.04,6.73,7.96,3.07,Indore
1657540800,1,300.41,0.03,3.98,45.78,0.98,6.31,7.51,3.23,Indore
1657544400,1,310.42,0.02,4.88,40.05,1.16,6.17,7.89,4.05,Indore
1657548000,1,310.42,0.0,4.97,35.05,1.24,6.61,9.25,4.75,Indore
1657551600,1,300.41,0.0,4.5,34.33,1.19,7.51,10.69,4.56,Indore
1657555200,1,290.39,0.0,4.2,35.76,1.24,8.43,11.73,4.02,Indore
1657558800,1,290.39,0.0,3.9,36.12,1.28,9.02,12.23,3.64,Indore
1657562400,2,300.41,0.0,3.81,36.84,1.36,10.26,13.23,3.36,Indore
1657566000,2,307.08,0.0,3.51,38.27,1.39,11.57,14.2,3.17,Indore
1657569600,2,317.1,0.0,3.51,36.12,1.42,10.83,13.17,2.94,Indore
1657573200,2,330.45,0.0,4.58,29.68,1.94,11.26,13.31,2.56,Indore
1657576800,2,340.46,0.0,6.6,24.68,3.93,13.28,14.78,2.06,Indore
1657580400,2,343.8,0.0,7.11,22.53,4.11,13.01,14.16,2.09,Indore
1657584000,2,340.46,0.0,6.85,21.82,3.13,12.27,13.34,2.37,Indore
1657587600,2,340.46,0.01,6.85,20.74,2.38,10.88,12.13,2.66,Indore
1657591200,1,347.14,0.04,7.37,18.06,2.03,9.21,10.91,2.85,Indore
1657594800,1,343.8,0.08,7.45,16.09,1.71,6.93,8.72,2.91,Indore
1657598400,1,320.43,0.04,6.25,19.49,1.45,4.33,5.59,2.34,Indore
1657602000,1,317.1,0.03,6.08,19.85,1.53,3.68,4.83,2.22,Indore
1657605600,1,317.1,0.02,6.0,21.46,1.76,3.37,4.45,2.18,Indore
1657609200,1,313.76,0.02,5.83,23.6,1.94,3.29,4.33,2.34,Indore
1657612800,1,310.42,0.03,5.74,24.68,2.03,3.39,4.43,2.6,Indore
1657616400,1,307.08,0.07,5.65,25.39,2.03,3.56,4.6,2.79,Indore
1657620000,1,307.08,0.1,5.48,25.75,1.8,3.65,4.73,2.94,Indore
1657623600,1,320.43,0.07,6.51,23.6,1.74,3.75,4.94,3.07,Indore
1657627200,1,340.46,0.07,8.23,20.74,1.88,3.94,5.29,3.2,Indore
1657630800,1,353.81,0.07,9.51,17.7,2.03,4.24,5.97,3.42,Indore
1657634400,1,337.12,0.06,8.14,15.91,1.65,4.13,6.32,3.39,Indore
1657638000,1,320.43,0.04,6.17,15.91,1.13,3.53,5.81,3.1,Indore
1657641600,1,307.08,0.03,5.1,16.27,0.92,3.17,5.27,2.88,Indore
1657645200,1,290.39,0.02,4.2,17.17,0.77,3.06,4.82,2.69,Indore
1657648800,1,283.72,0.02,3.94,16.81,0.8,3.27,4.55,2.47,Indore
1657652400,1,310.42,0.02,7.2,12.87,2.8,5.22,5.95,1.93,Indore
1657656000,1,343.8,0.04,13.37,7.42,6.97,8.54,9.13,1.68,Indore
1657659600,2,350.48,0.07,16.45,4.83,9.3,10.02,10.58,1.74,Indore
1657663200,1,343.8,0.08,16.62,4.74,9.3,9.53,10.07,1.85,Indore
1657666800,1,330.45,0.05,15.59,6.53,8.11,8.01,8.53,1.76,Indore
1657670400,1,313.76,0.03,13.37,9.92,6.32,6.06,6.55,1.63,Indore
1657674000,1,307.08,0.04,11.14,13.23,4.47,4.44,5.05,1.61,Indore
1657677600,1,313.76,0.15,10.02,14.66,3.46,4.2,5.19,1.74,Indore
1657681200,1,330.45,0.26,10.11,14.48,3.16,4.58,5.76,1.85,Indore
1657684800,1,347.14,0.43,10.28,13.59,3.25,5.11,6.3,1.87,Indore
1657688400,1,353.81,0.75,9.51,12.7,3.07,5.47,6.67,1.95,Indore
1657692000,1,347.14,0.78,8.48,13.05,2.71,5.72,6.87,2.03,Indore
1657695600,1,333.79,0.62,7.54,15.38,2.38,5.89,7.01,2.22,Indore
1657699200,1,323.77,0.46,6.85,18.78,2.18,6.11,7.15,2.25,Indore
1657702800,1,317.1,0.34,6.25,22.53,2.03,6.34,7.28,2.22,Indore
1657706400,1,313.76,0.31,5.57,25.75,1.88,6.36,7.22,2.18,Indore
1657710000,1,313.76,0.31,5.83,24.68,1.8,6.55,7.46,2.31,Indore
1657713600,1,323.77,0.38,6.77,21.99,1.94,6.43,7.43,2.41,Indore
1657717200,1,343.8,0.35,8.4,19.13,2.26,6.66,8.14,2.88,Indore
1657720800,1,360.49,0.07,9.34,17.52,2.38,7.27,9.59,3.45,Indore
1657724400,1,367.16,0.03,8.65,18.6,2.24,7.79,10.84,3.83,Indore
1657728000,1,373.84,0.02,8.23,19.13,2.12,7.85,10.98,3.67,Indore
1657731600,1,370.5,0.02,7.54,19.31,1.76,7.1,9.8,3.36,Indore
1657735200,1,353.81,0.01,6.51,20.38,1.28,6.18,8.07,3.07,Indore
1657738800,1,333.79,0.01,5.23,22.53,0.94,5.72,6.86,2.82,Indore
1657742400,1,330.45,0.0,4.71,22.17,0.81,5.62,6.51,2.82,Indore
1657746000,1,337.12,0.0,4.8,20.74,0.86,5.63,6.4,2.82,Indore
1657749600,1,350.48,0.01,5.27,19.13,1.07,5.94,6.67,2.94,Indore
1657753200,1,370.5,0.01,5.91,17.7,1.53,6.65,7.36,3.04,Indore
1657756800,1,397.21,0.01,6.51,17.34,1.97,7.29,8.01,3.07,Indore
1657760400,1,423.91,0.02,7.2,18.42,2.44,7.5,8.39,2.94,Indore
1657764000,1,453.95,0.09,8.4,20.92,2.98,8.01,9.34,2.94,Indore
1657767600,1,480.65,0.36,9.08,26.46,3.1,8.73,10.27,2.85,Indore
1657771200,1,460.62,0.31,6.85,49.35,2.56,7.81,9.14,2.31,Indore
1657774800,1,447.27,0.26,5.48,61.51,2.62,7.28,8.53,2.41,Indore
1657778400,1,447.27,0.21,5.1,64.37,3.19,7.14,8.32,2.6,Indore
1657782000,1,460.62,0.22,5.4,63.66,4.47,7.13,8.23,2.69,Indore
1657785600,1,494.0,0.24,6.77,57.94,5.9,7.69,8.86,2.88,Indore
1657789200,1,514.03,0.32,7.8,53.64,6.5,8.07,9.28,3.01,Indore
1657792800,1,520.71,0.2,9.0,52.21,6.68,8.48,9.73,3.26,Indore
1657796400,1,527.38,0.06,10.45,50.78,7.03,8.45,9.79,3.64,Indore
1657800000,1,554.08,0.01,12.51,47.92,7.33,8.53,10.04,4.12,Indore
1657803600,1,620.84,0.0,17.14,40.05,7.87,9.67,11.97,5.26,Indore
1657807200,2,734.33,0.0,22.96,29.68,8.7,12.46,16.13,6.21,Indore
1657810800,2,794.41,0.01,25.02,23.6,9.18,15.32,20.16,6.52,Indore
1657814400,2,814.44,0.01,23.99,21.99,9.54,17.38,22.57,6.08,Indore
1657818000,2,754.36,0.01,19.88,22.17,7.63,17.78,22.44,5.07,Indore
1657821600,2,620.84,0.02,13.88,20.38,4.23,15.91,19.33,4.24,Indore
1657825200,2,494.0,0.03,9.0,15.38,2.09,12.45,14.35,3.58,Indore
1657828800,1,410.56,0.04,7.28,11.09,1.48,9.65,10.77,3.17,Indore
1657832400,1,357.15,0.04,6.77,9.92,1.34,7.98,8.83,2.91,Indore
1657836000,1,320.43,0.03,6.51,11.09,1.36,7.4,8.18,2.75,Indore
1657839600,1,307.08,0.03,7.37,11.62,1.85,8.24,9.06,2.66,Indore
1657843200,2,313.76,0.06,9.0,10.55,2.62,10.01,10.91,2.66,Indore
1657846800,2,330.45,0.16,10.37,9.3,3.04,11.35,12.46,2.75,Indore
1657850400,2,357.15,0.56,11.48,7.51,2.95,11.44,13.11,3.01,Indore
1657854000,2,370.5,1.33,11.31,6.79,2.68,10.63,12.81,3.29,Indore
1657857600,1,360.49,1.75,9.6,8.4,2.56,9.15,11.6,3.23,Indore
1657861200,1,333.79,1.55,7.63,12.16,2.62,8.17,10.41,3.07,Indore
1657864800,1,310.42,1.12,6.51,16.81,2.71,8.1,9.87,2.79,Indore
1657868400,1,287.06,0.94,4.8,25.03,2.44,7.62,8.89,2.44,Indore
1657872000,1,283.72,0.8,4.16,31.47,2.41,7.25,8.35,2.41,Indore
1657875600,1,283.72,0.66,4.41,33.97,2.56,6.88,7.9,2.53,Indore
1657879200,1,283.72,0.42,5.27,32.19,2.62,5.95,6.93,2.6,Indore
1657882800,1,293.73,0.43,6.51,29.33,2.56,5.17,6.23,2.66,Indore
1657886400,1,303.75,0.33,7.97,26.46,2.56,4.66,5.82,2.63,Indore
1657890000,1,310.42,0.12,8.83,24.32,2.68,4.51,5.98,2.82,Indore
1657893600,1,310.42,0.03,8.57,22.89,2.86,4.91,6.92,3.1,Indore
1657897200,1,317.1,0.02,8.14,21.99,2.92,5.68,8.01,3.2,Indore
1657900800,1,333.79,0.02,8.31,21.82,3.19,6.81,9.23,3.23,Indore
1657904400,1,350.48,0.01,8.48,21.82,3.58,8.09,10.58,3.36,Indore
1657908000,1,350.48,0.01,8.48,22.17,3.87,9.05,11.27,3.36,Indore
1657911600,1,327.11,0.01,7.71,22.71,4.17,9.55,11.32,3.42,Indore
1657915200,1,300.41,0.0,6.68,21.82,4.17,9.9,11.31,3.36,Indore
1657918800,2,280.38,0.01,6.08,19.67,3.93,10.14,11.34,3.23,Indore
1657922400,2,267.03,0.01,5.44,17.7,3.4,10.06,11.17,3.17,Indore
1657926000,1,253.68,0.01,4.8,17.52,2.98,9.52,10.58,3.13,Indore
1657929600,1,253.68,0.01,4.33,18.24,2.77,8.35,9.4,3.1,Indore
1657933200,1,263.69,0.03,4.67,18.42,3.01,7.25,8.37,2.98,Indore
1657936800,1,293.73,0.29,6.08,17.17,3.76,6.8,8.23,2.98,Indore
1657940400,1,320.43,0.94,7.28,16.09,4.77,6.65,8.3,3.1,Indore
1657944000,1,310.42,1.03,6.6,18.95,4.59,5.42,6.79,2.66,Indore
1657947600,1,290.39,1.01,5.4,21.64,4.35,4.83,6.03,2.6,Indore
1657951200,1,277.04,0.85,4.33,24.68,4.23,4.34,5.33,2.47,Indore
1657954800,1,260.35,0.66,2.72,33.62,3.13,3.06,3.73,1.93,Indore
1657958400,1,253.68,0.52,2.08,39.7,2.71,2.59,3.12,1.76,Indore
1657962000,1,253.68,0.45,1.82,44.7,2.56,3.0,3.54,1.82,Indore
1657965600,1,257.02,0.36,1.95,47.21,2.41,3.71,4.32,2.12,Indore
1657969200,1,267.03,0.32,2.78,45.78,2.53,4.14,4.82,2.47,Indore
1657972800,1,280.38,0.17,4.24,40.05,2.65,3.69,4.38,2.6,Indore
1657976400,1,317.1,0.03,7.63,31.47,3.78,4.15,5.17,3.32,Indore
1657980000,1,360.49,0.01,10.28,24.68,4.95,5.46,7.03,3.8,Indore
1657983600,1,383.85,0.02,11.14,20.92,5.54,6.63,8.6,3.51,Indore
1657987200,1,397.21,0.02,11.31,19.85,5.9,7.74,9.85,3.32,Indore
1657990800,1,373.84,0.01,10.11,20.74,5.54,7.63,9.66,3.13,Indore
1657994400,1,337.12,0.01,8.4,21.82,5.07,6.58,8.27,2.88,Indore
1657998000,1,300.41,0.01,6.6,21.99,4.41,5.53,6.89,2.91,Indore
